,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.394,0.189,0.234,0.17,200,327.759,0.085,0.108
1,0.424,0.378,0.571,0.306,232,369.401,0.109,0.107
2,0.309,0.579,0.698,0.517,272,374.33,0.166,0.104
3,0.231,0.73,0.849,0.647,312,380.109,0.21,0.101
4,0.188,0.771,0.852,0.717,352,374.42,0.258,0.097
5,0.162,0.789,0.879,0.72,392,372.564,0.287,0.094
6,0.242,0.487,0.534,0.449,432,382.692,0.318,0.09
7,0.139,0.834,0.852,0.818,464,379.717,0.334,0.087
8,0.13,0.856,0.92,0.801,504,385.609,0.343,0.085
9,0.279,0.509,0.524,0.496,544,392.171,0.353,0.082
10,0.201,0.692,0.741,0.65,576,394.517,0.348,0.08
11,0.191,0.695,0.714,0.679,612,395.492,0.36,0.077
12,0.12,0.86,0.911,0.815,648,400.04,0.368,0.074
13,0.262,0.532,0.564,0.504,688,400.177,0.374,0.071
14,0.216,0.672,0.699,0.648,720,404.301,0.378,0.068
15,0.183,0.706,0.72,0.692,756,404.492,0.381,0.066
16,0.278,0.531,0.555,0.509,792,403.068,0.378,0.064
17,0.094,0.882,0.921,0.847,824,410.857,0.381,0.061
18,0.184,0.707,0.718,0.698,864,412.436,0.387,0.058
19,0.09,0.896,0.923,0.871,900,413.174,0.392,0.054
20,0.182,0.718,0.739,0.698,940,420.515,0.397,0.051
